11.0077	8.59819
13.263	8.45843
12.0279	9.77882
11.0077	8.59819


0	0
2	0
1.99756	1.99756
0	0


20	0
20	2
18.0024	1.99756
20	0


0	0
1.99756	1.99756
0	2
0	0


0	20
1.93778	18.0622
2	20
0	20


0	20
0	18
1.93778	18.0622
0	20


20	0
18.0024	1.99756
18	0
20	0


20	20
18	20
18.0024	18.0024
20	20


20	20
18.0024	18.0024
20	18
20	20


8.56032	6.23932
9.2817	8.0004
7.1237	6.97726
8.56032	6.23932


6.80944	11.3683
5.03407	12.0956
6.02395	9.82953
6.80944	11.3683


11.3501	13.0095
12.099	14.9345
9.85975	13.9379
11.3501	13.0095


11.508	7.18015
13.263	8.45843
11.0077	8.59819
11.508	7.18015


8.55978	12.7213
6.80944	11.3683
8.24027	10.2249
8.55978	12.7213


8.55978	12.7213
8.24027	10.2249
10.1773	11.8065
8.55978	12.7213


9.86133	4.48284
8.56032	6.23932
7.47948	4.89027
9.86133	4.48284


15.5172	9.86133
13.263	8.45843
15.0386	7.46492
15.5172	9.86133


6.02395	9.82953
5.03407	12.0956
4.21472	9.86334
6.02395	9.82953


9.85975	13.9379
12.099	14.9345
9.86334	15.7853
9.85975	13.9379


7.1237	6.97726
9.2817	8.0004
7.19686	8.66028
7.1237	6.97726


7.23317	16.9589
5.44412	16.0253
7.91759	14.9057
7.23317	16.9589


5.85714	14.1429
7.91759	14.9057
5.44412	16.0253
5.85714	14.1429


3.02268	12.8142
5.03407	12.0956
4.12598	14.4123
3.02268	12.8142


0	10
0	8
2.188	9.23878
0	10


10	20
8	20
9.2418	17.8108
10	20


10	0
12	0
10.6708	2.19686
10	0


20	10
20	12
17.8031	10.6708
20	10


0	8
1.4397	7.12372
2.188	9.23878
0	8


8	20
7.13967	18.5629
9.2418	17.8108
8	20


12	0
12.8582	1.44147
10.6708	2.19686
12	0


20	12
18.5585	12.8582
17.8031	10.6708
20	12


9.86133	4.48284
7.47948	4.89027
8.75916	3.25152
9.86133	4.48284


15.5172	9.86133
15.0386	7.46492
16.7343	8.75625
15.5172	9.86133


11.508	7.18015
13.052	6.85859
13.263	8.45843
11.508	7.18015


5.85714	14.1429
4.12598	14.4123
5.03407	12.0956
5.85714	14.1429


7.19686	8.66028
9.2817	8.0004
8.24027	10.2249
7.19686	8.66028


12.6937	11.482
11.3501	13.0095
11.319	11.1056
12.6937	11.482


9.86133	4.48284
10.1163	6.14573
8.56032	6.23932
9.86133	4.48284


8.55978	12.7213
6.91527	12.9217
6.80944	11.3683
8.55978	12.7213


15.5172	9.86133
13.6381	10.312
13.263	8.45843
15.5172	9.86133


12.6937	11.482
12.9195	13.0572
11.3501	13.0095
12.6937	11.482


10.2458	9.87978
10.1773	11.8065
8.24027	10.2249
10.2458	9.87978


3.02268	7.1858
2.188	9.23878
1.4397	7.12372
3.02268	7.1858


7.23317	16.9589
9.2418	17.8108
7.13967	18.5629
7.23317	16.9589


12.8142	3.02268
10.6708	2.19686
12.8582	1.44147
12.8142	3.02268


16.9773	12.8142
17.8031	10.6708
18.5585	12.8582
16.9773	12.8142


4	0
6	0
5.21853	1.9533
4	0


20	4
20	6
18.0467	5.21853
20	4


0	6
0	4
1.98781	5.19403
0	6


6	20
4	20
5.22336	18.0448
6	20


0	16
0	14
1.98781	14.806
0	16


16	20
14	20
14.7815	18.0467
16	20


14	0
16	0
14.806	1.98781
14	0


20	14
20	16
18.0122	14.806
20	14


12.8142	16.9773
12.099	14.9345
14.5559	16.0253
12.8142	16.9773


10.2458	9.87978
8.24027	10.2249
9.2817	8.0004
10.2458	9.87978


14.3728	14.0394
14.5559	16.0253
12.099	14.9345
14.3728	14.0394


0	10
2.188	9.23878
1.6635	11.3865
0	10


10	20
9.2418	17.8108
11.387	18.3363
10	20


10	0
10.6708	2.19686
8.59842	1.66497
10	0


20	10
17.8031	10.6708
18.335	8.59842
20	10


3.02268	7.1858
1.98781	5.19403
4.00767	5.25953
3.02268	7.1858


3.02268	12.8142
4.12598	14.4123
1.98781	14.806
3.02268	12.8142


12.8142	3.02268
14.806	1.98781
14.7405	4.00767
12.8142	3.02268


16.9773	12.8142
18.0122	14.806
15.9923	14.7405
16.9773	12.8142


4.21472	9.86334
3.36815	11.2175
2.188	9.23878
4.21472	9.86334


9.86334	15.7853
11.2179	16.6301
9.2418	17.8108
9.86334	15.7853


9.86133	4.48284
8.75916	3.25152
10.6708	2.19686
9.86133	4.48284


15.5172	9.86133
16.7343	8.75625
17.8031	10.6708
15.5172	9.86133


11.3501	13.0095
10.1773	11.8065
11.319	11.1056
11.3501	13.0095


11.508	7.18015
10.1163	6.14573
11.9758	5.2853
11.508	7.18015


12.6937	11.482
13.6381	10.312
14.6885	11.9795
12.6937	11.482


