0	907	2147	220	40
1	906	2132	219	40
2	2147	800	220	40
3	1372	473	1926	40
4	1373	474	1927	40
5	1376	477	1929	40
6	1377	478	1931	40
7	2132	799	219	40
8	473	2079	1926	40
9	474	2080	1927	40
10	477	2077	1929	40
11	478	2078	1931	40
12	725	1042	2049	40
13	2049	1042	390	40
14	1954	831	1414	40
15	732	1554	1078	40
16	733	1555	1079	40
17	791	1719	1000	40
18	793	1720	1002	40
19	792	1721	1001	40
20	794	1722	1003	40
21	788	1836	1010	40
22	905	1932	1029	40
23	904	1913	1030	40
24	335	831	1954	40
25	1719	207	1000	40
26	1720	209	1002	40
27	1721	208	1001	40
28	1722	210	1003	40
29	1554	380	1078	40
30	1555	381	1079	40
31	1155	430	1811	40
32	1836	182	1010	40
33	705	1066	1630	40
34	1932	501	1029	40
35	1913	500	1030	40
36	1447	163	625	40
37	625	163	1129	40
38	1828	1000	448	40
39	845	1000	1828	40
40	1829	1002	449	40
41	847	1002	1829	40
42	1831	1003	451	40
43	848	1003	1831	40
44	887	1563	1433	40
45	463	1172	1095	40
46	2156	998	413	40
47	2157	999	414	40
48	365	967	966	40
49	481	966	967	40
50	422	640	1355	40
51	423	641	1356	40
52	165	1262	841	40
53	984	1434	2097	40
54	384	946	730	40
55	230	687	937	40
56	174	1434	984	40
57	250	660	1116	40
58	392	843	805	40
59	818	1407	1185	40
60	819	1408	1186	40
61	257	881	980	40
62	432	980	881	40
63	258	882	981	40
64	433	981	882	40
65	1630	1066	499	40
66	379	677	1569	40
67	413	1400	857	40
68	414	1401	858	40
69	337	963	789	40
70	338	964	790	40
71	213	1092	689	40
72	399	689	1092	40
73	215	691	1091	40
74	401	1091	691	40
75	216	692	1093	40
76	402	1093	692	40
77	400	1094	695	40
78	329	833	949	40
79	392	949	833	40
80	329	949	685	40
81	293	1779	1019	40
82	198	759	1668	40
83	359	710	1311	40
84	337	807	963	40
85	338	808	964	40
86	336	957	765	40
87	938	998	2156	40
88	939	999	2157	40
89	289	778	1119	40
90	319	1454	672	40
91	320	1455	674	40
92	371	1457	675	40
93	376	1009	1191	40
94	377	1010	1192	40
95	1050	1462	1391	40
96	420	1171	786	40
97	337	789	1944	40
98	338	790	1945	40
99	251	1415	871	40
100	293	1019	1308	40
101	336	887	1433	40
102	765	1155	1811	40
103	360	982	676	40
104	350	847	1046	40
105	351	848	1047	40
106	346	845	1048	40
107	347	846	1049	40
108	413	978	1400	40
109	414	979	1401	40
110	350	1046	1989	40
111	351	1047	1990	40
112	346	1048	1991	40
113	347	1049	1993	40
114	789	1537	1944	40
115	790	1538	1945	40
116	1752	677	379	40
117	422	1319	640	40
118	423	1320	641	40
119	609	1225	1300	40
120	610	1226	1301	40
121	356	937	1800	40
122	431	1069	802	40
123	176	802	1069	40
124	440	937	854	40
125	706	1489	1067	40
126	707	1490	1068	40
127	571	1348	2049	40
128	289	1037	778	40
129	409	778	1037	40
130	410	779	1038	40
131	290	1038	779	40
132	291	780	1036	40
133	411	1036	780	40
134	292	781	1039	40
135	412	1039	781	40
136	361	797	1710	40
137	362	798	1711	40
138	1489	500	1067	40
139	1490	501	1068	40
140	841	1262	1709	40
141	1044	2016	1529	40
142	894	2050	1237	40
143	893	2051	1238	40
144	895	1239	2052	40
145	896	1240	2053	40
146	687	1800	937	40
147	376	1191	938	40
148	377	1192	939	40
149	336	809	957	40
150	588	1668	759	40
151	797	1368	1710	40
152	798	1369	1711	40
153	486	894	1237	40
154	487	893	1238	40
155	488	1239	895	40
156	489	1240	896	40
157	207	974	1000	40
158	209	975	1002	40
159	208	976	1001	40
160	210	977	1003	40
161	251	1210	1415	40
162	380	1800	687	40
163	381	1801	688	40
164	566	1654	711	40
165	282	711	1654	40
166	441	906	1012	40
167	442	907	1013	40
168	421	1885	1922	40
169	330	1636	686	40
170	597	1484	897	40
171	598	1485	898	40
172	386	659	1556	40
173	303	661	1558	40
174	304	662	1559	40
175	421	1922	855	40
176	1818	40	41	40
177	1820	79	80	40
178	1814	157	158	40
179	1815	118	119	40
180	122	123	1816	40
181	83	84	1819	40
182	6	1813	5	40
183	44	45	1817	40
184	597	1670	1484	40
185	705	1685	1066	40
186	443	1229	832	40
187	245	1300	1225	40
188	246	1301	1226	40
189	540	1312	998	40
190	541	1313	999	40
191	581	1571	795	40
192	2154	955	339	40
193	2155	956	340	40
194	401	1125	696	40
195	402	1126	697	40
196	399	694	1123	40
197	400	695	1124	40
198	537	1462	1050	40
199	205	1044	1529	40
200	998	1312	1773	40
201	999	1313	1774	40
202	742	955	2154	40
203	743	956	2155	40
204	1685	495	1066	40
205	438	789	1106	40
206	439	790	1108	40
207	869	1493	2067	40
208	371	675	1245	40
209	571	1804	1348	40
210	498	1463	704	40
211	366	1241	1916	40
212	367	1242	1917	40
213	448	1000	974	40
214	449	1002	975	40
215	450	1001	976	40
216	451	1003	977	40
217	189	778	1005	40
218	409	1005	778	40
219	410	1006	779	40
220	190	779	1006	40
221	191	1007	780	40
222	411	780	1007	40
223	192	1008	781	40
224	412	781	1008	40
225	598	1781	1485	40
226	105	953	1336	40
227	144	952	1335	40
228	19	1337	950	40
229	58	1338	951	40
230	821	40	1818	40
231	825	79	1820	40
232	820	157	1814	40
233	823	118	1815	40
234	1816	123	824	40
235	1819	84	827	40
236	822	1813	6	40
237	1817	45	826	40
238	812	2173	996	40
239	617	1786	986	40
240	249	1227	745	40
241	453	745	1227	40
242	419	1180	785	40
243	177	1070	1319	40
244	640	1319	1070	40
245	178	1071	1320	40
246	641	1320	1071	40
247	356	854	937	40
248	185	1185	1407	40
249	187	1186	1408	40
250	287	1920	712	40
251	288	1921	713	40
252	359	983	710	40
253	368	1147	745	40
254	295	1130	668	40
255	296	1131	670	40
256	298	1132	671	40
257	416	996	2173	40
258	225	1127	722	40
259	370	1456	1625	40
260	556	1493	869	40
261	420	676	1171	40
262	583	864	1159	40
263	584	865	1158	40
264	586	866	1160	40
265	214	748	1254	40
266	924	1606	1807	40
267	301	1255	747	40
268	303	749	1256	40
269	304	750	1257	40
270	2069	1107	274	40
271	2070	1109	275	40
272	300	1823	828	40
273	600	817	1432	40
274	241	1863	742	40
275	243	1864	743	40
